algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb
iterative,64,1,0.000154306,2432,2432,0
recursive,64,1,0.006553928,2432,2432,0
hybrid,64,1,0.000147346,2432,2432,0
iterative,64,2,0.000184926,2432,2432,0
recursive,64,2,0.005920029,2432,2432,0
hybrid,64,2,0.000133634,2432,2432,0
iterative,64,3,0.000232644,2432,2432,0
recursive,64,3,0.006996903,2432,2432,0
hybrid,64,3,0.000142508,2432,2432,0
iterative,64,4,0.000133235,2432,2432,0
recursive,64,4,0.005829168,2432,2432,0
hybrid,64,4,0.000147738,2432,2432,0
iterative,64,5,0.000184321,2432,2432,0
recursive,64,5,0.006828240,2432,2432,0
hybrid,64,5,0.000141266,2432,2432,0
iterative,64,6,0.000145699,2432,2432,0
recursive,64,6,0.006184066,2432,2432,0
hybrid,64,6,0.000146806,2432,2432,0
iterative,64,7,0.000147414,2432,2432,0
recursive,64,7,0.006872422,2432,2432,0
hybrid,64,7,0.000284685,2432,2432,0
iterative,64,8,0.000271929,2432,2432,0
recursive,64,8,0.006481052,2432,2432,0
hybrid,64,8,0.000137249,2432,2432,0
iterative,64,9,0.000137173,2432,2432,0
recursive,64,9,0.005889638,2432,2432,0
hybrid,64,9,0.000138742,2432,2432,0
iterative,64,10,0.000136795,2432,2432,0
recursive,64,10,0.005888229,2432,2432,0
hybrid,64,10,0.000136054,2432,2432,0
iterative,128,1,0.001163531,2432,2432,0
recursive,128,1,0.055610117,2432,2432,0
hybrid,128,1,0.002586114,2432,2432,0
iterative,128,2,0.001470343,2432,2432,0
recursive,128,2,0.049404829,2432,2432,0
hybrid,128,2,0.001212398,2432,2432,0
iterative,128,3,0.001218601,2432,2432,0
recursive,128,3,0.054227382,2432,2432,0
hybrid,128,3,0.001104120,2432,2432,0
iterative,128,4,0.001124098,2432,2432,0
recursive,128,4,0.052906339,2432,2432,0
hybrid,128,4,0.001206721,2432,2432,0
iterative,128,5,0.001178756,2432,2432,0
recursive,128,5,0.052550479,2432,2432,0
hybrid,128,5,0.001114076,2432,2432,0
iterative,128,6,0.001092324,2432,2432,0
recursive,128,6,0.049667426,2432,2432,0
hybrid,128,6,0.001261012,2432,2432,0
iterative,128,7,0.001182141,2432,2432,0
recursive,128,7,0.051582555,2432,2432,0
hybrid,128,7,0.001280383,2432,2432,0
iterative,128,8,0.001211239,2432,2432,0
recursive,128,8,0.052515844,2432,2432,0
hybrid,128,8,0.001299553,2432,2432,0
iterative,128,9,0.001227937,2432,2432,0
recursive,128,9,0.053651627,2432,2432,0
hybrid,128,9,0.001305262,2432,2432,0
iterative,128,10,0.001205259,2432,2432,0
recursive,128,10,0.056631202,2432,2432,0
hybrid,128,10,0.001379645,2432,2432,0
iterative,256,1,0.014553607,2432,2656,224
recursive,256,1,0.421017225,2656,3560,904
hybrid,256,1,0.013050872,3560,3560,0
iterative,256,2,0.009590726,3560,3560,0
recursive,256,2,0.413754938,3560,3560,0
hybrid,256,2,0.009896875,3560,3560,0
iterative,256,3,0.010088963,3560,3560,0
recursive,256,3,0.440912542,3560,3560,0
hybrid,256,3,0.010268473,3560,3560,0
iterative,256,4,0.010626683,3560,3560,0
recursive,256,4,0.483981968,3560,3560,0
hybrid,256,4,0.011645321,3560,3560,0
iterative,256,5,0.012113241,3560,3560,0
recursive,256,5,0.468228536,3560,3560,0
hybrid,256,5,0.010952652,3560,3560,0
iterative,256,6,0.010769492,3560,3560,0
recursive,256,6,0.456984468,3560,3560,0
hybrid,256,6,0.010821190,3560,3560,0
iterative,256,7,0.010405136,3560,3560,0
recursive,256,7,0.464547384,3560,3560,0
hybrid,256,7,0.013449771,3560,3560,0
iterative,256,8,0.010643833,3560,3560,0
recursive,256,8,0.459805858,3560,3560,0
hybrid,256,8,0.011442706,3560,3560,0
iterative,256,9,0.011209494,3560,3560,0
recursive,256,9,0.469596757,3560,3560,0
hybrid,256,9,0.011584697,3560,3560,0
iterative,256,10,0.010265041,3560,3560,0
recursive,256,10,0.467965560,3560,3560,0
hybrid,256,10,0.011193379,3560,3560,0
iterative,512,1,0.177277154,3936,4960,1024
recursive,512,1,3.820282853,4960,9448,4488
hybrid,512,1,0.082715589,9448,9448,0
iterative,512,2,0.131959279,9448,9448,0
recursive,512,2,3.763089532,9448,9448,0
hybrid,512,2,0.082253766,9448,9448,0
iterative,512,3,0.126101892,9448,9448,0
recursive,512,3,3.819729317,9448,9448,0
hybrid,512,3,0.091722362,9448,9448,0
iterative,512,4,0.120959129,9448,9448,0
recursive,512,4,3.779470039,9448,9448,0
hybrid,512,4,0.086642643,9448,9448,0
iterative,512,5,0.128424719,9448,9448,0
recursive,512,5,3.749279357,9448,9448,0
hybrid,512,5,0.081368291,9448,9448,0
iterative,512,6,0.120028695,9448,9448,0
recursive,512,6,3.593247300,9448,9448,0
hybrid,512,6,0.082740575,9448,9448,0
iterative,512,7,0.121005799,9448,9448,0
recursive,512,7,3.538240952,9448,9448,0
hybrid,512,7,0.080568764,9448,9448,0
iterative,512,8,0.122732774,9448,9448,0
recursive,512,8,3.511885116,9448,9448,0
hybrid,512,8,0.081185921,9448,9448,0
iterative,512,9,0.124177084,9448,9448,0
recursive,512,9,3.559884953,9448,9448,0
hybrid,512,9,0.080380496,9448,9448,0
iterative,512,10,0.116497032,9448,9448,0
recursive,512,10,3.450289073,9448,9448,0
hybrid,512,10,0.081425001,9448,9448,0
iterative,1024,1,3.168733034,10080,14176,4096
recursive,1024,1,28.123925131,14176,33000,18824
hybrid,1024,1,0.647469991,33000,33000,0
iterative,1024,2,2.755153933,33000,33000,0
recursive,1024,2,28.564379175,33000,33000,0
hybrid,1024,2,0.709541312,33000,33000,0
iterative,1024,3,2.707150392,33000,33000,0
recursive,1024,3,27.281865140,33000,33000,0
hybrid,1024,3,0.875490085,33000,33000,0
iterative,1024,4,2.718793219,33000,33000,0
recursive,1024,4,27.514494386,33000,33000,0
hybrid,1024,4,0.637649850,33000,33000,0
iterative,1024,5,2.846350833,33000,33000,0
recursive,1024,5,26.496627063,33000,33000,0
hybrid,1024,5,0.634602950,33000,33000,0
iterative,1024,6,2.900349623,33000,33000,0
recursive,1024,6,26.492158857,33000,33000,0
hybrid,1024,6,0.668591797,33000,33000,0
iterative,1024,7,2.551339193,33000,33000,0
recursive,1024,7,27.815440229,33000,33000,0
hybrid,1024,7,0.641537691,33000,33000,0
iterative,1024,8,2.851123943,33000,33000,0
recursive,1024,8,27.009792543,33000,33000,0
hybrid,1024,8,0.632652932,33000,33000,0
iterative,1024,9,3.502875630,33000,33000,0
recursive,1024,9,26.621673707,33000,33000,0
hybrid,1024,9,0.628931510,33000,33000,0
iterative,1024,10,2.815442128,33000,33000,0
recursive,1024,10,27.314664324,33000,33000,0
hybrid,1024,10,0.622964423,33000,33000,0
