algorithm,matrix_size,pair_id,time_seconds,memory_before_kb,memory_after_kb,memory_difference_kb,heap_current_bytes,heap_peak_bytes,heap_allocations,is_correct,max_abs_error,max_rel_error
iterative,64,1,0.000299103,2432,2432,0,0,0,0,1,0,0
recursive,64,1,0.011318056,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,7.9018964551707071e-16
hybrid_divide_conquer,64,1,0.000252853,2432,2432,0,0,0,0,1,0,0
strassen,64,1,0.007585151,2432,2432,0,0,229320,411768,1,5.7198690228688065e-13,3.4328204625391986e-14
hybrid_strassen,64,1,0.000238931,2432,2432,0,0,0,0,1,0,0
iterative,64,2,0.000225652,2432,2432,0,0,0,0,1,0,0
recursive,64,2,0.009107001,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,8.7969435659511758e-16
hybrid_divide_conquer,64,2,0.000243980,2432,2432,0,0,0,0,1,0,0
strassen,64,2,0.013038677,2432,2432,0,0,229320,411768,1,5.2580162446247414e-13,3.844819237141442e-14
hybrid_strassen,64,2,0.000322976,2432,2432,0,0,0,0,1,0,0
iterative,64,3,0.000323049,2432,2432,0,0,0,0,1,0,0
recursive,64,3,0.016832899,2432,2432,0,0,152880,524286,1,1.7763568394002505e-14,8.1192243424516724e-16
hybrid_divide_conquer,64,3,0.000346310,2432,2432,0,0,0,0,1,0,0
strassen,64,3,0.013192053,2432,2432,0,0,229320,411768,1,6.0751403907488566e-13,4.0678122123956075e-14
hybrid_strassen,64,3,0.000243397,2432,2432,0,0,0,0,1,0,0
iterative,64,4,0.000239514,2432,2432,0,0,0,0,1,0,0
recursive,64,4,0.011510840,2432,2432,0,0,152880,524286,1,1.7763568394002505e-14,9.4238682084020894e-16
hybrid_divide_conquer,64,4,0.000372718,2432,2432,0,0,0,0,1,0,0
strassen,64,4,0.008800143,2432,2432,0,0,229320,411768,1,6.2527760746888816e-13,4.9285654796572144e-14
hybrid_strassen,64,4,0.000230600,2432,2432,0,0,0,0,1,0,0
iterative,64,5,0.000219205,2432,2432,0,0,0,0,1,0,0
recursive,64,5,0.009334931,2432,2432,0,0,152880,524286,1,1.7763568394002505e-14,9.1686109101597068e-16
hybrid_divide_conquer,64,5,0.000234096,2432,2432,0,0,0,0,1,0,0
strassen,64,5,0.006854766,2432,2432,0,0,229320,411768,1,5.6132876125047915e-13,3.2533384282197884e-14
hybrid_strassen,64,5,0.000208249,2432,2432,0,0,0,0,1,0,0
iterative,64,6,0.000207353,2432,2432,0,0,0,0,1,0,0
recursive,64,6,0.008929194,2432,2432,0,0,152880,524286,1,1.7763568394002505e-14,9.3384211452822353e-16
hybrid_divide_conquer,64,6,0.000205869,2432,2432,0,0,0,0,1,0,0
strassen,64,6,0.006411781,2432,2432,0,0,229320,411768,1,4.5474735088646412e-13,2.6401663777890138e-14
hybrid_strassen,64,6,0.000202826,2432,2432,0,0,0,0,1,0,0
iterative,64,7,0.000201829,2432,2432,0,0,0,0,1,0,0
recursive,64,7,0.008531277,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,8.304362764218798e-16
hybrid_divide_conquer,64,7,0.000207808,2432,2432,0,0,0,0,1,0,0
strassen,64,7,0.006803100,2432,2432,0,0,229320,411768,1,8.7929663550312398e-13,6.3404302265978409e-14
hybrid_strassen,64,7,0.000216348,2432,2432,0,0,0,0,1,0,0
iterative,64,8,0.000225459,2432,2432,0,0,0,0,1,0,0
recursive,64,8,0.008680202,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,8.5500201155841811e-16
hybrid_divide_conquer,64,8,0.000248192,2432,2432,0,0,0,0,1,0,0
strassen,64,8,0.007437740,2432,2432,0,0,229320,411768,1,4.6185277824406512e-13,2.8719312383874958e-14
hybrid_strassen,64,8,0.000240957,2432,2432,0,0,0,0,1,0,0
iterative,64,9,0.000232252,2432,2432,0,0,0,0,1,0,0
recursive,64,9,0.008847749,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,8.3799195195212553e-16
hybrid_divide_conquer,64,9,0.000234698,2432,2432,0,0,0,0,1,0,0
strassen,64,9,0.007386355,2432,2432,0,0,229320,411768,1,6.8922645368729718e-13,4.1279627647573619e-14
hybrid_strassen,64,9,0.000233348,2432,2432,0,0,0,0,1,0,0
iterative,64,10,0.000232364,2432,2432,0,0,0,0,1,0,0
recursive,64,10,0.009670235,2432,2432,0,0,152880,524286,1,1.4210854715202004e-14,8.4248882100353168e-16
hybrid_divide_conquer,64,10,0.000210855,2432,2432,0,0,0,0,1,0,0
strassen,64,10,0.006355612,2432,2432,0,0,229320,411768,1,7.1054273576010019e-13,3.9515806849403022e-14
hybrid_strassen,64,10,0.000201388,2432,2432,0,0,0,0,1,0,0
iterative,128,1,0.002486882,2432,2432,0,0,0,0,1,0,0
recursive,128,1,0.068251767,2432,2560,128,0,611632,4194302,1,4.2632564145606011e-14,1.2512301877938881e-15
hybrid_divide_conquer,128,1,0.002564849,2560,2560,0,0,458752,14,1,4.2632564145606011e-14,1.2836453613005629e-15
strassen,128,1,0.049744949,2560,2872,312,0,917448,2882397,1,1.4317436125566019e-12,4.7903279046593785e-14
hybrid_strassen,128,1,0.001561909,2872,2872,0,0,688128,21,1,7.1054273576010019e-14,1.8633307666069887e-15
iterative,128,2,0.001681910,2872,2872,0,0,0,0,1,0,0
recursive,128,2,0.060984729,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.2020962385132209e-15
hybrid_divide_conquer,128,2,0.001781730,2872,2872,0,0,458752,14,1,4.2632564145606011e-14,1.2573591976187205e-15
strassen,128,2,0.049283100,2872,2872,0,0,917448,2882397,1,2.4016344468691386e-12,7.5787748437222218e-14
hybrid_strassen,128,2,0.001608854,2872,2872,0,0,688128,21,1,6.3948846218409017e-14,2.1292996875779128e-15
iterative,128,3,0.001889433,2872,2872,0,0,0,0,1,0,0
recursive,128,3,0.072679015,2872,2872,0,0,611632,4194302,1,4.9737991503207013e-14,1.4122386471544484e-15
hybrid_divide_conquer,128,3,0.001882292,2872,2872,0,0,458752,14,1,4.2632564145606011e-14,1.2363773810392805e-15
strassen,128,3,0.065283926,2872,2872,0,0,917448,2882397,1,3.7623237858497305e-12,1.2339420425362579e-13
hybrid_strassen,128,3,0.001790145,2872,2872,0,0,688128,21,1,7.1054273576010019e-14,2.0534369622056013e-15
iterative,128,4,0.002391441,2872,2872,0,0,0,0,1,0,0
recursive,128,4,0.072366590,2872,2872,0,0,611632,4194302,1,4.9737991503207013e-14,1.3500098213081931e-15
hybrid_divide_conquer,128,4,0.001639663,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.3500098213081931e-15
strassen,128,4,0.057709301,2872,2872,0,0,917448,2882397,1,2.9771740628348198e-12,9.4817288968145389e-14
hybrid_strassen,128,4,0.001935118,2872,2872,0,0,688128,21,1,8.5265128291212022e-14,2.4405881461817803e-15
iterative,128,5,0.002146806,2872,2872,0,0,0,0,1,0,0
recursive,128,5,0.079588125,2872,2872,0,0,611632,4194302,1,4.2632564145606011e-14,1.2345132742895799e-15
hybrid_divide_conquer,128,5,0.001932338,2872,2872,0,0,458752,14,1,4.9737991503207013e-14,1.5146010097204023e-15
strassen,128,5,0.057879018,2872,2872,0,0,917448,2882397,1,3.3359981443936704e-12,1.0970657535513531e-13
