algorithm,matrix_size,sample_count,correct_sample_count,all_correct,time_seconds_mean,time_seconds_stddev,time_seconds_min,time_seconds_max,memory_difference_kb_mean,memory_difference_kb_stddev,memory_difference_kb_min,memory_difference_kb_max,heap_current_bytes_mean,heap_current_bytes_stddev,heap_current_bytes_min,heap_current_bytes_max,heap_peak_bytes_mean,heap_peak_bytes_stddev,heap_peak_bytes_min,heap_peak_bytes_max,heap_allocations_mean,heap_allocations_stddev,heap_allocations_min,heap_allocations_max,max_abs_error_mean,max_abs_error_stddev,max_abs_error_min,max_abs_error_max,max_rel_error_mean,max_rel_error_stddev,max_rel_error_min,max_rel_error_max
hybrid_divide_conquer,64,10,10,1,0.0002557379,5.754309206817676e-05,0.00020586899999999999,0.00037271800000000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hybrid_strassen,64,10,10,1,0.000233902,3.5118377246741405e-05,0.00020138799999999999,0.00032297599999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iterative,64,10,10,1,0.000240578,3.9268486129323717e-05,0.00020182899999999999,0.000323049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recursive,64,10,10,1,0.0102762384,0.0025312968161870526,0.0085312770000000003,0.016832898999999998,0,0,0,0,0,0,0,0,152880,0,152880,152880,524286,0,524286,524286,1.5631940186722205e-14,1.8346134549116837e-15,1.4210854715202004e-14,1.7763568394002505e-14,8.6408155236777138e-16,5.2249012657339729e-17,7.9018964551707071e-16,9.4238682084020894e-16
strassen,64,10,10,1,0.0083865377999999997,0.0025890189599534416,0.0063556120000000001,0.013192053,0,0,0,0,0,0,0,0,229320,0,229320,229320,411768,0,411768,411768,6.0875748886246581e-13,1.2740344205048863e-13,4.5474735088646412e-13,8.7929663550312398e-13,3.9459427112425268e-14,1.072841854192317e-14,2.6401663777890138e-14,6.3404302265978409e-14
hybrid_divide_conquer,128,10,10,1,0.0021125007,0.0003528888084113906,0.001639663,0.0027434600000000001,0,0,0,0,0,0,0,0,458752,0,458752,458752,14,0,14,14,4.6185277824406512e-14,3.7448890331484813e-15,4.2632564145606011e-14,4.9737991503207013e-14,1.3282457649370381e-15,9.2894004909172982e-17,1.2363773810392805e-15,1.5146010097204023e-15
hybrid_strassen,128,10,10,1,0.0021799166999999999,0.00041326875435162582,0.001561909,0.0026139599999999998,0,0,0,0,0,0,0,0,688128,0,688128,688128,21,0,21,21,7.8514972301491076e-14,9.2416092035926406e-15,6.3948846218409017e-14,9.2370555648813024e-14,2.4251220706514515e-15,4.0425061809542481e-16,1.8633307666069887e-15,3.1988481084107102e-15
iterative,128,10,10,1,0.0022500147000000001,0.0003697416014047438,0.00168191,0.002958268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recursive,128,10,10,1,0.080308825200000003,0.014282176954034196,0.060984729000000001,0.103062455,12.800000000000001,40.477154050155256,0,128,0,0,0,0,611632,0,611632,611632,4194302,0,4194302,4194302,4.5474735088646414e-14,3.6692269098233674e-15,4.2632564145606011e-14,4.9737991503207013e-14,1.3161437045906465e-15,8.1153406108374742e-17,1.2020962385132209e-15,1.4304245553012585e-15
strassen,128,10,10,1,0.060978921300000002,0.0076104845185888722,0.049283100000000003,0.072649348000000002,31.199999999999999,98.663062997253434,0,312,0,0,0,0,917448,0,917448,917448,2882397,0,2882397,2882397,2.6702196009864566e-12,8.8440484265549588e-13,1.4317436125566019e-12,3.822719918389339e-12,8.5440107672115777e-14,2.9442795640626211e-14,4.7903279046593785e-14,1.2636030005600935e-13
hybrid_divide_conquer,256,10,10,1,0.0139840604,0.00080095397863772411,0.013124181,0.015598225,0,0,0,0,0,0,0,0,2293760,0,2293760,2293760,126,0,126,126,1.3073986337985842e-13,5.9918224530375696e-15,1.2789769243681803e-13,1.4210854715202004e-13,1.9563121652222009e-15,6.4135562945866405e-17,1.8694875385476992e-15,2.0862697185011713e-15
hybrid_strassen,256,10,10,1,0.012693711999999999,0.0013495521640238038,0.011529561000000001,0.016250827999999998,0,0,0,0,0,0,0,0,3440640,0,3440640,3440640,168,0,168,168,3.0837554731988347e-13,2.6203521364587026e-14,2.7711166694643907e-13,3.5527136788005009e-13,4.8510866759601663e-15,3.6275155995028184e-16,4.4526382811337754e-15,5.5486431327521689e-15
iterative,256,10,10,1,0.018145677499999999,0.0039450011420064882,0.016399133999999999,0.029329762999999998,51.200000000000003,161.90861620062103,0,512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
recursive,256,10,10,1,0.52767829659999999,0.022867459515952912,0.50828111499999995,0.58191157699999996,193.19999999999999,610.95204394453094,0,1932,0,0,0,0,2446640,0,2446640,2446640,33554430,0,33554430,33554430,1.2931877790833823e-13,1.0485689292815747e-14,1.1368683772161603e-13,1.4210854715202004e-13,1.9162508026621478e-15,1.2236086912332906e-16,1.7178249872776147e-15,2.0639815249362397e-15
strassen,256,10,10,1,0.34066367489999999,0.007322422693380082,0.33207411999999997,0.35576762699999998,120.40000000000001,362.83549991697339,0,1152,0,0,0,0,3669960,0,3669960,3669960,20176800,0,20176800,20176800,1.2227729939695565e-11,2.1626595070106793e-12,9.9120711638533976e-12,1.602984411874786e-11,1.9432353813412724e-13,3.6919639651560066e-14,1.5720255117994397e-13,2.5854658044900395e-13
hybrid_divide_conquer,512,10,10,1,0.1000269285,0.0047685878659792695,0.095197355999999997,0.111190106,0,0,0,0,0,0,0,0,9633792,0,9633792,9633792,1022,0,1022,1022,3.7374547900981271e-13,2.683808110118528e-14,3.4106051316484809e-13,4.2632564145606011e-13,2.8054289571149961e-15,1.7386765108578885e-16,2.524991600010729e-15,3.0973853936463704e-15
hybrid_strassen,512,10,10,1,0.079791217100000006,0.0063124021328981239,0.073490059999999996,0.093748443000000001,0,0,0,0,0,0,0,0,14450688,0,14450688,14450688,1197,0,1197,1197,1.3884005056752358e-12,1.4477568577367406e-13,1.2079226507921703e-12,1.7053025658242404e-12,1.0944541840080003e-14,1.053069638127179e-15,9.4646623779700761e-15,1.2991455684378811e-14
